time,lat,long,mag,deep,location
2017/8/23 7:20,33.32,92.83,3,10,青海玉树州杂多县
2017/8/23 9:13,29.39,105.5,2.6,12,重庆荣昌区(有感)
2017/8/23 11:29,39.68,118.33,2,15,河北唐山市开平区
2017/8/23 11:38,37.49,112.42,3.1,5,山西太原市清徐县
2017/8/24 2:00,39.41,74.96,3.4,7,新疆克孜勒苏州乌恰县
2017/8/24 4:18,44.3,82.74,3,21,新疆博尔塔拉州精河县
2017/8/24 9:06,38.42,74.02,3.3,128,塔吉克斯坦
2017/8/24 18:53,24.43,99.51,3.1,5,云南保山市昌宁县
2017/8/25 4:28,33.07,103.91,3,15,四川阿坝州九寨沟县
2017/8/26 6:45,38.81,96.09,3.3,6,甘肃酒泉市肃北县
2017/8/27 8:58,33.2,103.74,3.4,15,四川阿坝州九寨沟县
2017/8/27 12:17,-1.42,148.09,6.3,10,巴布亚新几内亚附近海域
2017/8/28 3:02,33.26,103.81,2.7,18,四川阿坝州九寨沟县
2017/8/28 23:05,39.9,115.73,2.8,0,北京房山区(塌陷)
2017/8/29 6:27,39.44,75.17,3.7,10,新疆克孜勒苏州乌恰县
2017/8/29 20:52,41.28,83.85,3.2,8,新疆阿克苏地区库车县
2017/8/30 3:24,38.85,110.29,2.6,0,陕西榆林市神木县(塌陷)
2017/8/30 6:08,19.52,120.86,4.8,4,巴布延群岛海域
2017/8/30 12:11,43.22,113.79,3.1,15,内蒙古锡林郭勒盟苏尼特右旗
2017/8/30 21:46,27.9,101.37,3,8,四川凉山州木里县
2017/9/1 1:06,-1.13,99.7,6.2,40,印尼苏门答腊南部
2017/9/1 1:46,58.45,-153.63,5.8,50,美国阿拉斯加
2017/9/1 6:57,-0.25,125.24,5.4,40,印尼马鲁古海
2017/9/1 10:38,32.2,82.74,4.6,8,西藏阿里地区革吉县
2017/9/2 3:30,36.28,106.01,4.6,10,宁夏固原市原州区
2017/9/3 5:59,34.14,83.56,4.1,6,西藏阿里地区改则县
2017/9/3 6:13,38.39,76.56,3,8,新疆克孜勒苏州阿克陶县
2017/9/3 11:30,41.35,129.11,6.3,0,朝鲜(疑爆)
2017/9/3 11:38,41.21,129.18,4.6,0,朝鲜（塌陷）
2017/9/4 3:05,37.5,114.35,3.7,5,河北邢台市临城县
2017/9/4 16:07,-57.68,-25.58,6,30,南桑威奇群岛地区
2017/9/4 16:34,37.61,78.18,3.3,25,新疆和田地区皮山县
2017/9/4 18:43,42.56,86.13,3,8,新疆巴音郭楞州和静县
2017/9/4 21:47,34.41,87.46,3.8,5,西藏那曲地区双湖县
2017/9/5 1:14,35.09,108.18,3.2,0,陕西咸阳市彬县(塌陷)
2017/9/6 1:57,33.24,103.79,3.4,10,四川阿坝州九寨沟县
2017/9/6 13:39,32.64,120.56,3,10,江苏盐城市东台市
2017/9/7 3:38,40.37,122.14,2.7,10,辽宁营口市鲅鱼圈区海域
2017/9/7 6:53,45.26,124.75,3.1,9,吉林松原市宁江区
2017/9/7 12:15,33.11,103.91,3.3,22,四川阿坝州九寨沟县
2017/9/8 1:26,27.71,139.8,6.2,460,日本小笠原群岛地区
2017/9/8 4:14,39.92,77.4,3.2,7,新疆克孜勒苏州阿图什市
2017/9/8 12:49,15.05,-93.9,8.2,20,墨西哥沿岸近海
2017/9/8 16:03,27.04,100.9,2.8,11,云南丽江市宁蒗县
2017/9/9 6:57,44.25,82.68,3.8,17,新疆博尔塔拉州精河县
2017/9/9 15:25,27.29,100.31,3.1,5,云南丽江市玉龙县
