year,day,dayTran,time,lat,long,mag,deep,location
2017,5/20,42875,7:51:05,38.3,100.99,3,8,甘肃张掖市民乐县
2017,5/20,42875,9:06:13,9.36,123.94,6,540,菲律宾
2017,5/21,42876,1:58:45,17.08,-94.01,5.7,140,墨西哥
2017,5/22,42877,17:23:05,39.34,73.45,4.7,11,塔吉克斯坦
2017,5/22,42877,18:15:13,33.92,106.06,3,12,甘肃陇南市徽县
2017,5/23,42878,0:24:54,31.98,90.3,3,8,西藏那曲地区班戈县
2017,5/23,42878,13:31:34,39.93,115.88,2.6,0,北京门头沟区(塌陷)
2017,5/23,42878,21:07:53,30.72,89.06,3.6,6,西藏那曲地区申扎县
2017,5/24,42879,11:16:29,27.69,90.63,3.6,7,不丹
2017,5/24,42879,11:21:21,38.38,74.18,3,128,塔吉克斯坦
2017,5/24,42879,17:49:04,23.44,120.49,4.1,17,台湾嘉义县
2017,5/24,42879,21:10:54,23.44,120.49,4.7,16,台湾嘉义县
2017,5/25,42880,0:36:01,52.52,-166.72,5.7,10,阿留申群岛
2017,5/25,42880,4:53:36,23.77,103.36,3.1,6,云南红河州开远市
2017,5/25,42880,13:48:12,23.45,120.5,4.3,15,台湾嘉义县
2017,5/25,42880,22:27:05,15.21,120.32,5,60,菲律宾
2017,5/27,42882,14:02:13,39.87,74.01,3.1,7,新疆克孜勒苏州乌恰县
2017,5/28,42883,5:39:25,41.79,81.84,3.4,7,新疆阿克苏地区拜城县
2017,5/28,42883,18:59:23,42.21,83.66,3.3,8,新疆阿克苏地区库车县
2017,5/29,42884,22:35:23,-1.3,120.42,6.6,20,印度尼西亚
2017,5/30,42885,1:41:21,30.23,112.32,3.5,8,湖北荆州市沙市区
2017,5/31,42886,0:49:16,47.39,85.72,3.4,7,新疆阿勒泰地区吉木乃县
2017,5/31,42886,9:54:24,25.44,100.33,3,8,云南大理州巍山县
2017,6/1,42887,11:02:55,37.54,94.76,3.3,9,青海省海西州大柴旦行政委员会
2017,6/2,42888,5:46:26,40.44,76.5,3.1,6,吉尔吉斯斯坦
2017,6/2,42888,14:49:22,43.51,88.12,2.5,20,新疆乌鲁木齐市达坂城区（有感）
2017,6/3,42889,6:24:48,54.09,170.91,6.9,10,阿留申群岛
2017,6/3,42889,7:48:17,-4.73,145.13,5.5,190,新几内亚北岸近海
2017,6/3,42889,9:38:17,29.78,100.35,2.9,11,四川甘孜州理塘县
2017,6/3,42889,13:07:49,33.52,91.32,3.6,10,青海省海西州唐古拉地区
2017,6/3,42889,18:11:10,37.99,103.56,5,15,内蒙古自治区阿拉善盟阿拉善左旗
2017,6/4,42890,9:24:49,38.4,73.95,3.6,120,塔吉克斯坦
2017,6/4,42890,14:51:21,32.49,105.27,3.1,15,四川广元市青川县
2017,6/4,42890,21:24:46,24.67,122.7,4.4,12,台湾宜兰县海域
2017,6/5,42891,20:42:46,33.61,91.04,3.2,10,青海省海西州唐古拉地区
2017,6/6,42892,14:04:58,31.31,103.18,3.9,9,四川阿坝州汶川县
